date,strategy,direction,atm,entry,vix,move_pct,pnl_pts,pnl_inr,win
2022-05-19,S4_MOMENTUM,BEAR,15800,242.07,24.559999465942383,2.65,-3.0,-75.0,False
2022-05-20,S4_MOMENTUM,BULL,16250,282.22,23.100000381469727,2.89,-3.0,-75.0,False
2022-05-23,S4_MOMENTUM,BEAR,16200,232.13,23.399999618530277,0.32,8.0,200.0,True
2022-05-24,S4_MOMENTUM,BEAR,16150,277.42,25.63999938964844,0.55,8.0,200.0,True
2022-05-25,S4_MOMENTUM,BEAR,16050,270.23,25.280000686645508,0.62,-3.0,-75.0,False
2022-05-26,S4_MOMENTUM,BULL,16150,276.7,22.71999931335449,0.9,8.0,200.0,True
2022-05-27,S4_MOMENTUM,BULL,16350,255.23,21.479999542236328,1.13,8.0,200.0,True
2022-05-30,S4_MOMENTUM,BULL,16650,243.74,19.979999542236328,1.89,-3.0,-75.0,False
2022-05-31,S4_MOMENTUM,BEAR,16600,211.05,20.479999542236328,0.46,8.0,200.0,True
2022-06-01,S4_MOMENTUM,BEAR,16500,199.76,20.850000381469727,0.37,-3.0,-75.0,False
2022-06-02,S4_MOMENTUM,BULL,16650,233.6,20.31999969482422,0.64,-3.0,-75.0,False
2022-06-07,S4_MOMENTUM,BEAR,16400,194.88,20.43000030517578,0.92,8.0,200.0,True
2022-06-08,S4_MOMENTUM,BEAR,16350,189.97,19.84000015258789,0.37,-3.0,-75.0,False
2022-06-09,S4_MOMENTUM,BULL,16500,214.3,19.13999938964844,0.74,-3.0,-75.0,False
2022-06-10,S4_MOMENTUM,BEAR,16200,185.88,19.57999992370605,1.68,8.0,200.0,True
2022-06-13,S4_MOMENTUM,BEAR,15750,206.69,22.3700008392334,2.64,4.23,106.0,True
2022-06-16,S4_MOMENTUM,BEAR,15350,211.3,22.8700008392334,2.11,8.0,200.0,True
2022-06-17,S4_MOMENTUM,BEAR,15300,215.67,22.76000022888184,0.44,-3.0,-75.0,False
2022-06-20,S4_MOMENTUM,BULL,15350,246.91,22.40999984741211,0.37,8.0,200.0,True
2022-06-21,S4_MOMENTUM,BULL,15650,230.89,21.13999938964844,1.88,-3.0,-75.0,False
2022-06-22,S4_MOMENTUM,BEAR,15400,191.2,21.299999237060547,1.44,-3.0,-75.0,False
2022-06-23,S4_MOMENTUM,BULL,15550,233.51,20.8799991607666,0.93,8.0,200.0,True
2022-06-24,S4_MOMENTUM,BULL,15700,228.59,20.549999237060547,0.92,8.0,200.0,True
2022-06-27,S4_MOMENTUM,BULL,15850,229.98,21.01000022888184,0.85,1.82,46.0,True
2022-06-29,S4_MOMENTUM,BEAR,15800,211.15,21.899999618530277,0.32,1.88,47.0,True
2022-07-04,S4_MOMENTUM,BULL,15850,230.89,20.96999931335449,0.53,-2.45,-61.0,False
2022-07-06,S4_MOMENTUM,BULL,16000,226.15,20.270000457763672,1.13,8.0,200.0,True
2022-07-07,S4_MOMENTUM,BULL,16150,211.14,19.200000762939453,0.89,8.0,200.0,True
2022-07-08,S4_MOMENTUM,BULL,16200,217.72,18.399999618530277,0.54,-0.46,-12.0,False
2022-07-12,S4_MOMENTUM,BEAR,16050,167.61,18.549999237060547,0.97,8.0,200.0,True
2022-07-13,S4_MOMENTUM,BEAR,15950,162.73,18.520000457763672,0.57,2.8,70.0,True
2022-07-15,S4_MOMENTUM,BULL,16050,194.63,17.600000381469727,0.69,8.0,200.0,True
2022-07-18,S4_MOMENTUM,BULL,16300,183.62,17.15999984741211,1.43,8.0,200.0,True
2022-07-19,S4_MOMENTUM,BULL,16350,190.12,17.200000762939453,0.38,8.0,200.0,True
2022-07-20,S4_MOMENTUM,BULL,16500,200.52,16.81999969482422,1.1,8.0,200.0,True
2022-07-21,S4_MOMENTUM,BULL,16600,195.67,16.860000610351562,0.51,8.0,200.0,True
2022-07-22,S4_MOMENTUM,BULL,16700,200.56,16.649999618530273,0.69,-3.0,-75.0,False
2022-07-25,S4_MOMENTUM,BEAR,16650,174.57,17.68000030517578,0.53,8.0,200.0,True
2022-07-26,S4_MOMENTUM,BEAR,16500,178.1,18.170000076293945,0.88,-3.0,-75.0,False
2022-07-27,S4_MOMENTUM,BULL,16650,208.57,18.1299991607666,0.96,8.0,200.0,True
2022-07-28,S4_MOMENTUM,BULL,16950,192.08,17.010000228881836,1.73,8.0,200.0,True
2022-07-29,S4_MOMENTUM,BULL,17150,200.99,16.549999237060547,1.35,8.0,200.0,True
2022-08-01,S4_MOMENTUM,BULL,17350,209.92,17.489999771118164,1.06,0.54,14.0,True
2022-08-08,S4_MOMENTUM,BULL,17550,233.63,19.299999237060547,0.73,0.97,24.0,True
2022-08-11,S4_MOMENTUM,BULL,17650,236.37,18.36000061035156,0.71,3.92,98.0,True
2022-08-16,S4_MOMENTUM,BULL,17850,214.33,17.68000030517578,0.72,8.0,200.0,True
2022-08-17,S4_MOMENTUM,BULL,17950,224.32,17.68000030517578,0.67,1.23,31.0,True
2022-08-19,S4_MOMENTUM,BEAR,17750,188.01,18.290000915527344,1.1,8.0,200.0,True
2022-08-22,S4_MOMENTUM,BEAR,17500,202.12,19.040000915527344,1.51,-3.0,-75.0,False
